StationCode,Station_Longitude,Station_Latitude,Review_Region,Review_Stratum,SubRegion
307,-122.4192,38.00472,Far West,San Pablo Bay and Carquinez Strait,SF and Outer SP Bays
306,-122.41488,38.00042,Far West,San Pablo Bay and Carquinez Strait,SF and Outer SP Bays
305,-122.4086,37.9987,Far West,San Pablo Bay and Carquinez Strait,SF and Outer SP Bays
308,-122.40438,38.01745,Far West,San Pablo Bay and Carquinez Strait,SF and Outer SP Bays
314,-122.41167,38.02812,Far West,San Pablo Bay and Carquinez Strait,Mid San Pablo Bay
309,-122.39387,38.01442,Far West,San Pablo Bay and Carquinez Strait,Mid San Pablo Bay
315,-122.3936,38.03815,Far West,San Pablo Bay and Carquinez Strait,Mid San Pablo Bay
311,-122.37743,38.02087,Far West,San Pablo Bay and Carquinez Strait,Mid San Pablo Bay
310,-122.37355,38.0297,Far West,San Pablo Bay and Carquinez Strait,Mid San Pablo Bay
327,-122.36672,38.04772,Far West,San Pablo Bay and Carquinez Strait,Mid San Pablo Bay
321,-122.36103,38.03612,Far West,San Pablo Bay and Carquinez Strait,Mid San Pablo Bay
322,-122.35078,38.02363,Far West,San Pablo Bay and Carquinez Strait,Mid San Pablo Bay
328,-122.34936857032358,38.06020342532461,Far West,San Pablo Bay and Carquinez Strait,Mid San Pablo Bay
334,-122.33819668164837,38.076261875477655,Far West,San Pablo Bay and Carquinez Strait,Mid San Pablo Bay
323.1,-122.32817,38.02853,Far West,San Pablo Bay and Carquinez Strait,Mid San Pablo Bay
344,-122.30817046293912,38.21261822926794,Far West,Napa River,Upper Napa River
345,-122.30411325372259,38.22621289664325,Far West,Napa River,Upper Napa River
346,-122.28661375148211,38.23777543011192,Far West,Napa River,Upper Napa River
348,-122.28463888883583,38.27308333343889,Far West,Napa River,Upper Napa River
347,-122.28344146023419,38.254891334319424,Far West,Napa River,Upper Napa River
349,-122.28338888888972,38.286138888994444,Far West,Napa River,Upper Napa River
335,-122.32406251210362,38.07098377147053,Far West,San Pablo Bay and Carquinez Strait,East San Pablo Bay
329,-122.30459959135052,38.0634544802549,Far West,San Pablo Bay and Carquinez Strait,East San Pablo Bay
326,-122.29592,38.04038,Far West,San Pablo Bay and Carquinez Strait,East San Pablo Bay
325,-122.2955,38.05605,Far West,San Pablo Bay and Carquinez Strait,East San Pablo Bay
323,-122.28553787865346,38.04407696050196,Far West,San Pablo Bay and Carquinez Strait,East San Pablo Bay
336,-122.27827189252079,38.06168753950508,Far West,San Pablo Bay and Carquinez Strait,East San Pablo Bay
337,-122.27232,38.0595,Far West,San Pablo Bay and Carquinez Strait,East San Pablo Bay
343,-122.30976225365322,38.183345946669746,Far West,Napa River,Lower Napa River
342,-122.28760401860596,38.146128456384226,Far West,Napa River,Lower Napa River
341,-122.2802,38.12828,Far West,Napa River,Lower Napa River
340,-122.26364418847498,38.09947788857688,Far West,Napa River,Lower Napa River
339,-122.2568,38.0667,Far West,San Pablo Bay and Carquinez Strait,Carquinez Strait
338,-122.24892,38.06003,Far West,San Pablo Bay and Carquinez Strait,Carquinez Strait
401,-122.21245,38.05758,Far West,San Pablo Bay and Carquinez Strait,Carquinez Strait
404,-122.17887,38.04645,Far West,San Pablo Bay and Carquinez Strait,Carquinez Strait
403,-122.17192,38.04883,Far West,San Pablo Bay and Carquinez Strait,Carquinez Strait
405.1,-122.15815,38.03353,Far West,San Pablo Bay and Carquinez Strait,Carquinez Strait
406,-122.15057,38.028,Far West,San Pablo Bay and Carquinez Strait,Carquinez Strait
405,-122.1498263768518,38.03973406928799,Far West,San Pablo Bay and Carquinez Strait,Carquinez Strait
407,-122.14515,38.03298,Far West,San Pablo Bay and Carquinez Strait,Carquinez Strait
408,-122.12897,38.03513,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay
414,-122.11128,38.05213,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay
415,-122.10772,38.05678,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay
409,-122.10637,38.04455,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay
418,-122.09708749155612,38.065665458867066,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay
410,-122.09647,38.04883,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay
416,-122.09415,38.0702,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay
417,-122.083,38.08075,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay
411,-122.08240975587385,38.05116237435433,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay
418.1,-122.06973,38.09383,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay
401.1,-122.06828,38.06117,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay
412,-122.06007,38.06462,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay
604,-122.05717,38.12163,Suisun Bay and Marsh,Suisun and Honker Bays,Mid Suisun Bay
603,-122.04805,38.11552,Suisun Bay and Marsh,Suisun and Honker Bays,Mid Suisun Bay
413,-122.0473,38.06595,Suisun Bay and Marsh,Suisun and Honker Bays,Mid Suisun Bay
602,-122.04422519038452,38.11508618674958,Suisun Bay and Marsh,Suisun and Honker Bays,Mid Suisun Bay
601,-122.0356,38.1031,Suisun Bay and Marsh,Suisun and Honker Bays,Mid Suisun Bay
501,-122.02599334929184,38.07308456458474,Suisun Bay and Marsh,Suisun and Honker Bays,Mid Suisun Bay
501.1,-122.01955,38.06167,Suisun Bay and Marsh,Suisun and Honker Bays,Mid Suisun Bay
515,-122.01472,38.092,Suisun Bay and Marsh,Suisun and Honker Bays,Mid Suisun Bay
504.2,-122.01372222264722,38.06105555534444,Suisun Bay and Marsh,Suisun and Honker Bays,Mid Suisun Bay
502,-122.00397,38.05997,Suisun Bay and Marsh,Suisun and Honker Bays,Mid Suisun Bay
501.2,-122.00358333322778,38.08822222232778,Suisun Bay and Marsh,Suisun and Honker Bays,Mid Suisun Bay
516,-121.99408,38.07867,Suisun Bay and Marsh,Suisun and Honker Bays,Mid Suisun Bay
504,-121.98706247183856,38.05267680827617,Suisun Bay and Marsh,Suisun and Honker Bays,Mid Suisun Bay
503,-121.9832,38.06022,Suisun Bay and Marsh,Suisun and Honker Bays,Mid Suisun Bay
517,-121.97938,38.07022,Suisun Bay and Marsh,Suisun and Honker Bays,Mid Suisun Bay
504.1,-121.9767,38.05945,Suisun Bay and Marsh,Suisun and Honker Bays,Mid Suisun Bay
605,-122.05738,38.14853,Suisun Bay and Marsh,Suisun Marsh,Suisun Marsh
606,-122.02687802684959,38.17018340867388,Suisun Bay and Marsh,Suisun Marsh,Suisun Marsh
609,-121.9378752336471,38.1671112668042,Suisun Bay and Marsh,Suisun Marsh,Suisun Marsh
610,-121.88913054038368,38.12140431501736,Suisun Bay and Marsh,Suisun Marsh,Suisun Marsh
608,-121.88332,38.0887,Suisun Bay and Marsh,Suisun Marsh,Suisun Marsh
518,-121.96802,38.06875,Suisun Bay and Marsh,Suisun and Honker Bays,Honker Bay
519,-121.9581327785755,38.073657043718924,Suisun Bay and Marsh,Suisun and Honker Bays,Honker Bay
505,-121.95597,38.05713,Suisun Bay and Marsh,Suisun and Honker Bays,Honker Bay
507,-121.939,38.05228,Suisun Bay and Marsh,Suisun and Honker Bays,Honker Bay
508,-121.91786909658084,38.04639549893456,Suisun Bay and Marsh,Suisun and Honker Bays,Honker Bay
509,-121.90412,38.04547,Suisun Bay and Marsh,Suisun and Honker Bays,Honker Bay
520,-121.86617648539655,38.032482826018374,Confluence,Confluence,Lower San Joaquin River
801,-121.844000000425,38.04369444423333,Confluence,Confluence,Lower San Joaquin River
802.1,-121.83875,38.03528,Confluence,Confluence,Lower San Joaquin River
804.1,-121.79868,38.02308,Confluence,Confluence,Lower San Joaquin River
804,-121.79378341585866,38.01720593327489,Confluence,Confluence,Lower San Joaquin River
806,-121.7617,38.02872,Confluence,Confluence,Lower San Joaquin River
807,-121.73203,38.02995,Confluence,Confluence,Lower San Joaquin River
808,-121.71942,38.03337,Confluence,Confluence,Lower San Joaquin River
510,-121.88783,38.04888,Confluence,Confluence,Lower Sacramento River
511,-121.88,38.0513,Confluence,Confluence,Lower Sacramento River
512,-121.87722,38.05638,Confluence,Confluence,Lower Sacramento River
513,-121.86789930350697,38.05861027638702,Confluence,Confluence,Lower Sacramento River
701,-121.83475,38.06505,Confluence,Confluence,Lower Sacramento River
703.1,-121.79692,38.06087,Confluence,Confluence,Lower Sacramento River
703,-121.79646231916105,38.04586704016745,Confluence,Confluence,Lower Sacramento River
704,-121.78384074211291,38.067897929063925,Confluence,Confluence,Lower Sacramento River
705.1,-121.7618,38.07925,Confluence,Confluence,Lower Sacramento River
706,-121.75051488719187,38.085832870157454,Confluence,Confluence,Lower Sacramento River
706.1,-121.74,38.0903,Confluence,Confluence,Sacramento River near Rio Vista
705,-121.708978338183,38.09185698914961,Confluence,Confluence,Sacramento River near Rio Vista
707,-121.70776054657753,38.11430915097073,Confluence,Confluence,Sacramento River near Rio Vista
708,-121.6967,38.12608,Confluence,Confluence,Sacramento River near Rio Vista
709,-121.69048,38.14787,Confluence,Confluence,Sacramento River near Rio Vista
710,-121.68228,38.162,Confluence,Confluence,Sacramento River near Rio Vista
711.1,-121.67028,38.17595,Confluence,Confluence,Sacramento River near Rio Vista
711,-121.66344749993094,38.17796098522138,Confluence,Confluence,Sacramento River near Rio Vista
720,-121.77927777820278,38.26263888888889,North,Cache Slough,Cache Slough and Liberty Island
718,-121.72902777777777,38.257555555766665,North,Cache Slough,Cache Slough and Liberty Island
721,-121.70286586691367,38.26824008768028,North,Cache Slough,Cache Slough and Liberty Island
716.1,-121.69171136205964,38.2581255837966,North,Cache Slough,Cache Slough and Liberty Island
716,-121.68413424030382,38.23827835614749,North,Cache Slough,Cache Slough and Liberty Island
715,-121.67392231507111,38.22355725472836,North,Cache Slough,Cache Slough and Liberty Island
723,-121.67145467630097,38.239772613965116,North,Cache Slough,Cache Slough and Liberty Island
713,-121.66037638001195,38.20685366297242,North,Cache Slough,Cache Slough and Liberty Island
724.1,-121.65208333333334,38.25625,North,Cache Slough,Cache Slough and Liberty Island
719,-121.64746846342665,38.33364669124525,North,Cache Slough,Cache Slough and Liberty Island
726,-121.64383333312223,38.283055555555556,North,Cache Slough,Cache Slough and Liberty Island
809,-121.69193526192409,38.053330928512175,Confluence,Confluence,San Joaquin River at Twitchell Island
810,-121.67622,38.07083,Confluence,Confluence,San Joaquin River at Twitchell Island
811,-121.66487,38.09742,Confluence,Confluence,San Joaquin River at Twitchell Island
812.1,-121.64883,38.08792,Confluence,Confluence,San Joaquin River at Twitchell Island
812,-121.64024366356891,38.090134664770474,Confluence,Confluence,San Joaquin River at Twitchell Island
813,-121.62767,38.09978,Confluence,Confluence,San Joaquin River at Twitchell Island
901.1,-121.61849999997361,38.04625,South,South,Franks Tract
901,-121.595250000425,38.04827777756667,South,South,Franks Tract
712,-121.63948394728115,38.191312830749744,North,Sacramento Mainstem,Upper Sacramento River
735,-121.56968,38.33343,North,Sacramento Mainstem,Upper Sacramento River
736,-121.5214,38.36737,North,Sacramento Mainstem,Upper Sacramento River
797,-121.61560432936442,38.40465982939597,North,Sacramento Ship Channel,Sacramento River Ship Channel
795,-121.58466417501137,38.537655091326755,North,Sacramento Ship Channel,Sacramento River Ship Channel
796,-121.58442104394251,38.47372111400678,North,Sacramento Ship Channel,Sacramento River Ship Channel
794,-121.55618,38.56118333,North,Sacramento Ship Channel,Sacramento River Ship Channel
717,-121.63138,38.17017,North,Sacramento Mainstem,Sacramento River near Ryde
724,-121.55877806603812,38.23681761993116,North,Sacramento Mainstem,Sacramento River near Ryde
902,-121.5823687954305,38.01963851612355,South,South,Holland Cut
918,-121.56805457336257,37.85916787568259,South,South,Victoria Canal
915,-121.56576702699174,37.94341828971161,South,South,Old River
915.1,-121.55908,37.949,South,South,Old River
814,-121.6022,38.10128,South,South,San Joaquin River at Prisoners Pt
815.1,-121.57587,38.0913,South,South,San Joaquin River at Prisoners Pt
815,-121.57063385871867,38.08443487269494,South,South,San Joaquin River at Prisoners Pt
904,-121.56847,38.07828,South,South,San Joaquin River at Prisoners Pt
905,-121.55573,38.05953,South,South,San Joaquin River at Prisoners Pt
908,-121.5298,38.04308,South,South,San Joaquin River at Prisoners Pt
906,-121.50762585674977,38.050772046356954,South,South,San Joaquin River at Prisoners Pt
914.1,-121.53475,37.94662,South,South,Middle River
913,-121.53705,37.97012,South,South,Mildred Island
914,-121.52,37.97149999989445,South,South,Mildred Island
903,-121.56747,38.10628,South,North and South Forks Mokelumne River,North and South Forks Mokelumne River
923,-121.56407356505501,38.13523632478633,South,North and South Forks Mokelumne River,North and South Forks Mokelumne River
920,-121.5041197730946,38.14174099393049,South,North and South Forks Mokelumne River,North and South Forks Mokelumne River
921,-121.49302875023906,38.165338124881245,South,North and South Forks Mokelumne River,North and South Forks Mokelumne River
919,-121.49300454115529,38.104960268506986,South,North and South Forks Mokelumne River,North and South Forks Mokelumne River
922,-121.47899725600982,38.20457659654814,South,North and South Forks Mokelumne River,North and South Forks Mokelumne River
909,-121.46705,38.02442,South,South,San Joaquin River near Stockton
910,-121.4519586196837,38.00419872173249,South,South,San Joaquin River near Stockton
911,-121.40875,37.99247,South,South,San Joaquin River near Stockton
912,-121.36853950381,37.96647973252484,South,South,San Joaquin River near Stockton
